Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Conv_3,Conv,458752000,0.47%,65540480,3.62%,1120,0.00%,1x3x640x640,1x40x640x640
Sigmoid_4,Sigmoid,524288000,0.54%,65536000,3.62%,0,0.00%,1x40x640x640,1x40x640x640
Mul_5,Mul,16384000,0.02%,65536000,3.62%,0,0.00%,1x40x640x640,1x40x640x640
Conv_6,Conv,2957312000,3.02%,32883520,1.82%,28880,0.04%,1x40x640x640,1x80x320x320
Sigmoid_7,Sigmoid,262144000,0.27%,32768000,1.81%,0,0.00%,1x80x320x320,1x80x320x320
Mul_8,Mul,8192000,0.01%,32768000,1.81%,0,0.00%,1x80x320x320,1x80x320x320
Conv_9,Conv,5906432000,6.03%,32998720,1.82%,57680,0.08%,1x80x320x320,1x80x320x320
Sigmoid_10,Sigmoid,262144000,0.27%,32768000,1.81%,0,0.00%,1x80x320x320,1x80x320x320
Mul_11,Mul,8192000,0.01%,32768000,1.81%,0,0.00%,1x80x320x320,1x80x320x320
Conv_12,Conv,2953216000,3.01%,16845440,0.93%,115360,0.16%,1x80x320x320,1x160x160x160
Sigmoid_13,Sigmoid,131072000,0.13%,16384000,0.91%,0,0.00%,1x160x160x160,1x160x160x160
Mul_14,Mul,4096000,0.00%,16384000,0.91%,0,0.00%,1x160x160x160,1x160x160x160
Conv_15,Conv,263782400,0.27%,6594816,0.36%,10304,0.01%,1x160x160x160,1x64x160x160
Conv_18,Conv,263782400,0.27%,6594816,0.36%,10304,0.01%,1x160x160x160,1x64x160x160
Sigmoid_16,Sigmoid,52428800,0.05%,6553600,0.36%,0,0.00%,1x64x160x160,1x64x160x160
Sigmoid_19,Sigmoid,52428800,0.05%,6553600,0.36%,0,0.00%,1x64x160x160,1x64x160x160
Mul_17,Mul,1638400,0.00%,6553600,0.36%,0,0.00%,1x64x160x160,1x64x160x160
Mul_20,Mul,1638400,0.00%,6553600,0.36%,0,0.00%,1x64x160x160,1x64x160x160
Conv_21,Conv,945356800,0.97%,6701312,0.37%,36928,0.05%,1x64x160x160,1x64x160x160
Sigmoid_22,Sigmoid,52428800,0.05%,6553600,0.36%,0,0.00%,1x64x160x160,1x64x160x160
Mul_23,Mul,1638400,0.00%,6553600,0.36%,0,0.00%,1x64x160x160,1x64x160x160
Conv_24,Conv,945356800,0.97%,6701312,0.37%,36928,0.05%,1x64x160x160,1x64x160x160
Sigmoid_25,Sigmoid,52428800,0.05%,6553600,0.36%,0,0.00%,1x64x160x160,1x64x160x160
Mul_26,Mul,1638400,0.00%,6553600,0.36%,0,0.00%,1x64x160x160,1x64x160x160
Conv_27,Conv,945356800,0.97%,6701312,0.37%,36928,0.05%,1x64x160x160,1x64x160x160
