Name                   Type               MACs            CPercent    Memory         MPercent    Params      PPercent    InShape        OutShape
---------------------  -----------------  --------------  ----------  -------------  ----------  ----------  ----------  -------------  -------------
Conv_3                 Conv               458,752,000     0.47%       65,540,480     3.62%       1,120       0.00%       1x3x640x640    1x40x640x640
Sigmoid_4              Sigmoid            524,288,000     0.54%       65,536,000     3.62%       0           0.00%       1x40x640x640   1x40x640x640
Mul_5                  Mul                16,384,000      0.02%       65,536,000     3.62%       0           0.00%       1x40x640x640   1x40x640x640
Conv_6                 Conv               2,957,312,000   3.02%       32,883,520     1.82%       28,880      0.04%       1x40x640x640   1x80x320x320
Sigmoid_7              Sigmoid            262,144,000     0.27%       32,768,000     1.81%       0           0.00%       1x80x320x320   1x80x320x320
Mul_8                  Mul                8,192,000       0.01%       32,768,000     1.81%       0           0.00%       1x80x320x320   1x80x320x320
Conv_9                 Conv               5,906,432,000   6.03%       32,998,720     1.82%       57,680      0.08%       1x80x320x320   1x80x320x320
Sigmoid_10             Sigmoid            262,144,000     0.27%       32,768,000     1.81%       0           0.00%       1x80x320x320   1x80x320x320
Mul_11                 Mul                8,192,000       0.01%       32,768,000     1.81%       0           0.00%       1x80x320x320   1x80x320x320
Conv_12                Conv               2,953,216,000   3.01%       16,845,440     0.93%       115,360     0.16%       1x80x320x320   1x160x160x160
Sigmoid_13             Sigmoid            131,072,000     0.13%       16,384,000     0.91%       0           0.00%       1x160x160x160  1x160x160x160
Mul_14                 Mul                4,096,000       0.00%       16,384,000     0.91%       0           0.00%       1x160x160x160  1x160x160x160
Conv_15                Conv               263,782,400     0.27%       6,594,816      0.36%       10,304      0.01%       1x160x160x160  1x64x160x160
Conv_18                Conv               263,782,400     0.27%       6,594,816      0.36%       10,304      0.01%       1x160x160x160  1x64x160x160
Sigmoid_16             Sigmoid            52,428,800      0.05%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Sigmoid_19             Sigmoid            52,428,800      0.05%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Mul_17                 Mul                1,638,400       0.00%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Mul_20                 Mul                1,638,400       0.00%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Conv_21                Conv               945,356,800     0.97%       6,701,312      0.37%       36,928      0.05%       1x64x160x160   1x64x160x160
Sigmoid_22             Sigmoid            52,428,800      0.05%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Mul_23                 Mul                1,638,400       0.00%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Conv_24                Conv               945,356,800     0.97%       6,701,312      0.37%       36,928      0.05%       1x64x160x160   1x64x160x160
Sigmoid_25             Sigmoid            52,428,800      0.05%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Mul_26                 Mul                1,638,400       0.00%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Conv_27                Conv               945,356,800     0.97%       6,701,312      0.37%       36,928      0.05%       1x64x160x160   1x64x160x160
Sigmoid_28             Sigmoid            52,428,800      0.05%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Mul_29                 Mul                1,638,400       0.00%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Conv_30                Conv               945,356,800     0.97%       6,701,312      0.37%       36,928      0.05%       1x64x160x160   1x64x160x160
Sigmoid_31             Sigmoid            52,428,800      0.05%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Mul_32                 Mul                1,638,400       0.00%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Conv_33                Conv               945,356,800     0.97%       6,701,312      0.37%       36,928      0.05%       1x64x160x160   1x64x160x160
Sigmoid_34             Sigmoid            52,428,800      0.05%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Mul_35                 Mul                1,638,400       0.00%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Conv_36                Conv               945,356,800     0.97%       6,701,312      0.37%       36,928      0.05%       1x64x160x160   1x64x160x160
Sigmoid_37             Sigmoid            52,428,800      0.05%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Mul_38                 Mul                1,638,400       0.00%       6,553,600      0.36%       0           0.00%       1x64x160x160   1x64x160x160
Conv_40                Conv               2,629,632,000   2.68%       33,178,880     1.83%       102,720     0.15%       1x320x160x160  1x320x160x160
Sigmoid_41             Sigmoid            262,144,000     0.27%       32,768,000     1.81%       0           0.00%       1x320x160x160  1x320x160x160
Mul_42                 Mul                8,192,000       0.01%       32,768,000     1.81%       0           0.00%       1x320x160x160  1x320x160x160
MaxPool_43             MaxPool            8,192,000       0.01%       8,192,000      0.45%       0           0.00%       1x320x160x160  1x320x80x80
Conv_47                Conv               1,314,816,000   1.34%       16,589,440     0.92%       51,360      0.07%       1x320x160x160  1x160x160x160
Conv_44                Conv               328,704,000     0.34%       4,301,440      0.24%       51,360      0.07%       1x320x80x80    1x160x80x80
Sigmoid_48             Sigmoid            131,072,000     0.13%       16,384,000     0.91%       0           0.00%       1x160x160x160  1x160x160x160
Sigmoid_45             Sigmoid            32,768,000      0.03%       4,096,000      0.23%       0           0.00%       1x160x80x80    1x160x80x80
Mul_49                 Mul                4,096,000       0.00%       16,384,000     0.91%       0           0.00%       1x160x160x160  1x160x160x160
Mul_46                 Mul                1,024,000       0.00%       4,096,000      0.23%       0           0.00%       1x160x80x80    1x160x80x80
Conv_50                Conv               1,475,584,000   1.51%       5,018,240      0.28%       230,560     0.33%       1x160x160x160  1x160x80x80
Sigmoid_51             Sigmoid            32,768,000      0.03%       4,096,000      0.23%       0           0.00%       1x160x80x80    1x160x80x80
Mul_52                 Mul                1,024,000       0.00%       4,096,000      0.23%       0           0.00%       1x160x80x80    1x160x80x80
Conv_54                Conv               262,963,200     0.27%       3,441,152      0.19%       41,088      0.06%       1x320x80x80    1x128x80x80
Conv_57                Conv               262,963,200     0.27%       3,441,152      0.19%       41,088      0.06%       1x320x80x80    1x128x80x80
Sigmoid_55             Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Sigmoid_58             Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_56                 Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_59                 Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_60                Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_61             Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_62                 Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_63                Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_64             Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_65                 Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_66                Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_67             Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_68                 Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_69                Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_70             Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_71                 Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_72                Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_73             Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_74                 Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_75                Conv               944,537,600     0.96%       3,867,136      0.21%       147,584     0.21%       1x128x80x80    1x128x80x80
Sigmoid_76             Sigmoid            26,214,400      0.03%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Mul_77                 Mul                819,200         0.00%       3,276,800      0.18%       0           0.00%       1x128x80x80    1x128x80x80
Conv_79                Conv               2,625,536,000   2.68%       18,024,960     1.00%       410,240     0.58%       1x640x80x80    1x640x80x80
Sigmoid_80             Sigmoid            131,072,000     0.13%       16,384,000     0.91%       0           0.00%       1x640x80x80    1x640x80x80
Mul_81                 Mul                4,096,000       0.00%       16,384,000     0.91%       0           0.00%       1x640x80x80    1x640x80x80
MaxPool_82             MaxPool            4,096,000       0.00%       4,096,000      0.23%       0           0.00%       1x640x80x80    1x640x40x40
Conv_86                Conv               1,312,768,000   1.34%       9,012,480      0.50%       205,120     0.29%       1x640x80x80    1x320x80x80
